Mod:Item:MetaData, Localized Name
conarm:armor_plate:0, Terrasteel Armor Plates
conarm:armor_plate:0, Elementium Armor Plates
conarm:armor_plate:0, Draconium Armor Plates
conarm:armor_plate:0, Wyvern Armor Plates
conarm:armor_plate:0, Draconic Armor Plates
conarm:armor_plate:0, Chaotic Armor Plates
conarm:armor_plate:0, Litherite Armor Plates
conarm:armor_plate:0, Erodium Armor Plates
conarm:armor_plate:0, Kyronite Armor Plates
conarm:armor_plate:0, Pladium Armor Plates
conarm:armor_plate:0, Ionite Armor Plates
conarm:armor_plate:0, Aethium Armor Plates
conarm:armor_plate:0, Lonsdaleite Armor Plates
conarm:armor_plate:0, Mica Armor Plates
conarm:armor_plate:0, Apatite Armor Plates
conarm:armor_plate:0, Essence-Infused Armor Plates
conarm:armor_plate:0, Meaty Armor Plates
conarm:armor_plate:0, Slime Armor Plates
conarm:armor_plate:0, Pink Metal Armor Plates
conarm:armor_plate:0, Rubber Armor Plates
conarm:armor_plate:0, Advanced Alloy Armor Plates
conarm:armor_plate:0, Energium Armor Plates
conarm:armor_plate:0, Carbon Fiber Armor Plates
conarm:armor_plate:0, Iridium Armor Plates
conarm:armor_plate:0, UU-Metal Armor Plates
conarm:armor_plate:0, Osmium Armor Plates
conarm:armor_plate:0, Refined Obsidian Armor Plates
conarm:armor_plate:0, Refined Glowstone Armor Plates
conarm:armor_plate:0, HDPE Armor Plates
conarm:armor_plate:0, Ghostwood Armor Plates
conarm:armor_plate:0, Bloodwood Armor Plates
conarm:armor_plate:0, Darkwood Armor Plates
conarm:armor_plate:0, Fusewood Armor Plates
conarm:armor_plate:0, Dark Matter Armor Plates
conarm:armor_plate:0, Red Matter Armor Plates
conarm:armor_plate:0, Fluxed Electrum Armor Plates
conarm:armor_plate:0, Flux Crystal Armor Plates
conarm:armor_plate:0, Gelid Enderium Armor Plates
conarm:armor_plate:0, Gelid Gem Armor Plates
conarm:armor_plate:0, Thaumium Armor Plates
conarm:armor_plate:0, Void Metal Armor Plates
conarm:armor_plate:0, Primal Metal Armor Plates
conarm:armor_plate:0, Amber Armor Plates
conarm:armor_plate:0, Tin Armor Plates
conarm:armor_plate:0, Aluminium Armor Plates
conarm:armor_plate:0, Nickel Armor Plates
conarm:armor_plate:0, Platinum Armor Plates
conarm:armor_plate:0, Invar Armor Plates
conarm:armor_plate:0, Constantan Armor Plates
conarm:armor_plate:0, Signalum Armor Plates
conarm:armor_plate:0, Lumium Armor Plates
conarm:armor_plate:0, Enderium Armor Plates
conarm:armor_plate:0, Prosperity Shard Armor Plates
conarm:armor_plate:0, Soulium Armor Plates
conarm:armor_plate:0, Base Essence Armor Plates
conarm:armor_plate:0, Inferium Armor Plates
conarm:armor_plate:0, Prudentium Armor Plates
conarm:armor_plate:0, Intermedium Armor Plates
conarm:armor_plate:0, Superium Armor Plates
conarm:armor_plate:0, Supremium Armor Plates
conarm:armor_plate:0, Tiberium Armor Plates
conarm:armor_plate:0, Aurorium Armor Plates
conarm:armor_plate:0, Prometheum Armor Plates
conarm:armor_plate:0, Duranite Armor Plates
conarm:armor_plate:0, Valyrium Armor Plates
conarm:armor_plate:0, Vibranium Armor Plates
conarm:armor_plate:0, Terrax Armor Plates
conarm:armor_plate:0, Palladium Armor Plates
conarm:armor_plate:0, Uru Armor Plates
conarm:armor_plate:0, Eezo Armor Plates
conarm:armor_plate:0, Basalt Armor Plates
conarm:armor_plate:0, Triberium Armor Plates
conarm:armor_plate:0, Fractum Armor Plates
conarm:armor_plate:0, Violium Armor Plates
conarm:armor_plate:0, Proxii Armor Plates
conarm:armor_plate:0, Tritonite Armor Plates
conarm:armor_plate:0, Ignitz Armor Plates
conarm:armor_plate:0, Imperomite Armor Plates
conarm:armor_plate:0, Solarium Armor Plates
conarm:armor_plate:0, Nihilite Armor Plates
conarm:armor_plate:0, Adamant Armor Plates
conarm:armor_plate:0, Dyonite Armor Plates
conarm:armor_plate:0, Nucleum Armor Plates
conarm:armor_plate:0, Lumix Armor Plates
conarm:armor_plate:0, Seismum Armor Plates
conarm:armor_plate:0, Astrium Armor Plates
conarm:armor_plate:0, Niob Armor Plates
conarm:armor_plate:0, Yrdeen Armor Plates
conarm:armor_plate:0, Meteorite Armor Plates
conarm:armor_plate:0, Obsidiorite Armor Plates
conarm:armor_plate:0, Alumite Armor Plates
conarm:armor_plate:0, Sapphire Armor Plates
conarm:armor_plate:0, Ruby Armor Plates
conarm:armor_plate:0, Peridot Armor Plates
conarm:armor_plate:0, Malachite Armor Plates
conarm:armor_plate:0, Topaz Armor Plates
conarm:armor_plate:0, Tanzanite Armor Plates
conarm:armor_plate:0, Amethyst Armor Plates
conarm:armor_plate:0, Osgloglas Armor Plates
conarm:armor_plate:0, Osmiridium Armor Plates
conarm:armor_plate:0, Skyroot Armor Plates
conarm:armor_plate:0, Holystone Armor Plates
conarm:armor_plate:0, Zanite Armor Plates
conarm:armor_plate:0, Gravitite Armor Plates
conarm:armor_plate:0, Golden Amber Armor Plates
conarm:armor_plate:0, Valkyrie Armor Plates
conarm:armor_plate:0, Swet Armor Plates
conarm:armor_plate:0, Candy Cane Armor Plates
conarm:armor_plate:0, Cold Aercloud Armor Plates
conarm:armor_plate:0, Blue Aercloud Armor Plates
conarm:armor_plate:0, Golden Aercloud Armor Plates
conarm:armor_plate:0, Icestone Armor Plates
conarm:armor_plate:0, Mirion Armor Plates
conarm:armor_plate:0, Emerald Armor Plates
conarm:chest_core:0, Electrical Chestplate Core
conarm:chest_core:0, Energetic Chestplate Core
conarm:chest_core:0, Vibrant Chestplate Core
conarm:chest_core:0, Red Chestplate Core
conarm:chest_core:0, Conductive Chestplate Core
conarm:chest_core:0, Pulsating Chestplate Core
conarm:chest_core:0, Dark Chestplate Core
conarm:chest_core:0, Souled Chestplate Core
conarm:chest_core:0, Chestplate Core of the End
conarm:chest_core:0, Fake-Iron Chestplate Core
conarm:chest_core:0, TofuMetal Chestplate Core
conarm:chest_core:0, TofuDiamond Chestplate Core
conarm:chest_core:0, Naga Scale Chestplate Core
conarm:chest_core:0, Steeleaf Chestplate Core
conarm:chest_core:0, Fiery Chestplate Core
conarm:chest_core:0, Knightly Chestplate Core
conarm:chest_core:0, Wooden Chestplate Core
conarm:chest_core:0, Stone Chestplate Core
conarm:chest_core:0, Flint Chestplate Core
conarm:chest_core:0, Cactus Chestplate Core
conarm:chest_core:0, Bone Chestplate Core
conarm:chest_core:0, Obsidian Chestplate Core
conarm:chest_core:0, Prismarine Chestplate Core
conarm:chest_core:0, End Chestplate Core
conarm:chest_core:0, Paper Chestplate Core
conarm:chest_core:0, Sponge Chestplate Core
conarm:chest_core:0, Firewood Chestplate Core
conarm:chest_core:0, Iron Chestplate Core
conarm:chest_core:0, Pig Iron Chestplate Core
conarm:chest_core:0, Knightslime Chestplate Core
conarm:chest_core:0, Slime Chestplate Core
conarm:chest_core:0, Slime Chestplate Core
conarm:chest_core:0, Magma Slime Chestplate Core
conarm:chest_core:0, Netherrack Chestplate Core
conarm:chest_core:0, Cobalt Chestplate Core
conarm:chest_core:0, Ardite Chestplate Core
conarm:chest_core:0, Manyullyn Chestplate Core
conarm:chest_core:0, Copper Chestplate Core
conarm:chest_core:0, Bronze Chestplate Core
conarm:chest_core:0, Lead Chestplate Core
conarm:chest_core:0, Silver Chestplate Core
conarm:chest_core:0, Electrum Chestplate Core
conarm:chest_core:0, Steel Chestplate Core
conarm:chest_core:0, Abyssalnite Chestplate Core
conarm:chest_core:0, Refined Coralium Chestplate Core
conarm:chest_core:0, Dreadium Chestplate Core
conarm:chest_core:0, Cheese Chestplate Core
conarm:chest_core:0, Insanium Chestplate Core
conarm:chest_core:0, Coalescence Matrix Chestplate Core
conarm:chest_core:0, Knowledge Chestplate Core
conarm:chest_core:0, Infernium Chestplate Core
conarm:chest_core:0, Titanium Chestplate Core
conarm:chest_core:0, Cryonium Chestplate Core
conarm:chest_core:0, Alubrass Chestplate Core
conarm:chest_core:0, Diamond Chestplate Core
conarm:chest_core:0, Gold Chestplate Core
conarm:chest_core:0, Coal Chestplate Core
conarm:chest_core:0, Ethaxium Chestplate Core
conarm:chest_core:0, Scarlite Chestplate Core
conarm:chest_core:0, Hephaestite Chestplate Core
conarm:chest_core:0, Mithrillium Chestplate Core
conarm:chest_core:0, Adaminite Chestplate Core
conarm:chest_core:0, Mithminite Chestplate Core
conarm:chest_core:0, Ravaging Chestplate Core
conarm:chest_core:0, Remorseful Gem Chestplate Core
conarm:chest_core:0, Gaia Chestplate Core
conarm:chest_core:0, Cytosinite Chestplate Core
conarm:chest_core:0, Terra Alloy Chestplate Core
conarm:chest_core:0, Stellar Alloy Chestplate Core
conarm:chest_core:0, Cosmilite Chestplate Core
conarm:chest_core:0, Astral Metal Chestplate Core
conarm:chest_core:0, Orichalcos Chestplate Core
conarm:chest_core:0, Yellorium Chestplate Core
conarm:chest_core:0, Chocolate Chestplate Core
conarm:chest_core:0, Cincinnasite Chestplate Core
conarm:chest_core:0, Rime Chestplate Core
conarm:chest_core:0, Ender Biotite Chestplate Core
conarm:chest_core:0, Tofu Gem Chestplate Core
conarm:chest_core:0, High-Powered Tofu Gem Chestplate Core
conarm:chest_core:0, Sakura Diamond Chestplate Core
conarm:chest_core:0, Mud Chestplate Core
conarm:chest_core:0, Dimensional Shard Chestplate Core
conarm:chest_core:0, Heart Crystal Chestplate Core
conarm:chest_core:0, Bedrock Chestplate Core
conarm:chest_core:0, Aeroite Chestplate Core
conarm:chest_core:0, Asgardium Chestplate Core
conarm:chest_core:0, Shadowium Chestplate Core
conarm:chest_core:0, Netherite Chestplate Core
conarm:chest_core:0, Seared Chestplate Core
conarm:chest_core:0, Scorched Chestplate Core
conarm:chest_core:0, Modularium Chestplate Core
conarm:chest_core:0, Mereor Chestplate Core
conarm:chest_core:0, Chromium Chestplate Core
conarm:chest_core:0, Stainless Steel Chestplate Core
conarm:chest_core:0, Protonium Chestplate Core
conarm:chest_core:0, Electronium Chestplate Core
conarm:chest_core:0, Crimsonite Chestplate Core
conarm:chest_core:0, Aqualite Chestplate Core
conarm:chest_core:0, Manganese Chestplate Core
conarm:chest_core:0, Manganese Steel Chestplate Core
conarm:chest_core:0, Mithril Chestplate Core
conarm:chest_core:0, Durasteel Chestplate Core
conarm:chest_core:0, Aeonsteel Chestplate Core
conarm:chest_core:0, Chromasteel Chestplate Core
conarm:chest_core:0, Spectre Chestplate Core
conarm:chest_core:0, Terrestrial Gem Chestplate Core
conarm:chest_core:0, Alpha Fur Chestplate Core
conarm:chest_core:0, Perfect Chestplate Core
conarm:chest_core:0, Pumpkin Chestplate Core
conarm:chest_core:0, Poop Chestplate Core
conarm:chest_core:0, Shadowium Chestplate Core
conarm:chest_core:0, Orichalcos Chestplate Core
conarm:chest_core:0, Blood Infused Wooden Chestplate Core
conarm:chest_core:0, Blood Infused Iron Chestplate Core
conarm:chest_core:0, Umbrium Chestplate Core
conarm:chest_core:0, Magical Wooden Chestplate Core
conarm:chest_core:0, Evil Infused Chestplate Core
conarm:chest_core:0, Enchanted Chestplate Core
conarm:chest_core:0, Demonic Chestplate Core
conarm:chest_core:0, Black Quartz Chestplate Core
conarm:chest_core:0, Restonia Crystal Chestplate Core
conarm:chest_core:0, Palis Crystal Chestplate Core
conarm:chest_core:0, Diamatine Crystal Chestplate Core
conarm:chest_core:0, Void Crystal Chestplate Core
conarm:chest_core:0, Emeradic Crystal Chestplate Core
conarm:chest_core:0, Enori Crystal Chestplate Core
conarm:chest_core:0, Sunnarium Chestplate Core
conarm:chest_core:0, Sky Stone Chestplate Core
conarm:chest_core:0, Certus Quartz Chestplate Core
conarm:chest_core:0, Fluix Chestplate Core
conarm:chest_core:0, Fluix Steel Chestplate Core
conarm:chest_core:0, Aquamarine Chestplate Core
conarm:chest_core:0, Starmetal Chestplate Core
conarm:chest_core:0, Crystal Matrix Chestplate Core
conarm:chest_core:0, Neutronium Chestplate Core
conarm:chest_core:0, Infinity Chestplate Core
conarm:chest_core:0, Bound Chestplate Core
conarm:chest_core:0, Sentient Chestplate Core
conarm:chest_core:0, Livingrock Chestplate Core
conarm:chest_core:0, Livingwood Chestplate Core
conarm:chest_core:0, Dreamwood Chestplate Core
conarm:chest_core:0, Manasteel Chestplate Core
conarm:chest_core:0, Terrasteel Chestplate Core
conarm:chest_core:0, Elementium Chestplate Core
conarm:chest_core:0, Draconium Chestplate Core
conarm:chest_core:0, Wyvern Chestplate Core
conarm:chest_core:0, Draconic Chestplate Core
conarm:chest_core:0, Chaotic Chestplate Core
conarm:chest_core:0, Litherite Chestplate Core
conarm:chest_core:0, Erodium Chestplate Core
conarm:chest_core:0, Kyronite Chestplate Core
conarm:chest_core:0, Pladium Chestplate Core
conarm:chest_core:0, Ionite Chestplate Core
conarm:chest_core:0, Aethium Chestplate Core
conarm:chest_core:0, Lonsdaleite Chestplate Core
conarm:chest_core:0, Mica Chestplate Core
conarm:chest_core:0, Apatite Chestplate Core
conarm:chest_core:0, Essence-Infused Chestplate Core
conarm:chest_core:0, Meaty Chestplate Core
conarm:chest_core:0, Slime Chestplate Core
conarm:chest_core:0, Pink Metal Chestplate Core
conarm:chest_core:0, Rubber Chestplate Core
conarm:chest_core:0, Advanced Alloy Chestplate Core
conarm:chest_core:0, Energium Chestplate Core
conarm:chest_core:0, Carbon Fiber Chestplate Core
conarm:chest_core:0, Iridium Chestplate Core
conarm:chest_core:0, UU-Metal Chestplate Core
conarm:chest_core:0, Osmium Chestplate Core
conarm:chest_core:0, Refined Obsidian Chestplate Core
conarm:chest_core:0, Refined Glowstone Chestplate Core
conarm:chest_core:0, HDPE Chestplate Core
conarm:chest_core:0, Ghostwood Chestplate Core
conarm:chest_core:0, Bloodwood Chestplate Core
conarm:chest_core:0, Darkwood Chestplate Core
conarm:chest_core:0, Fusewood Chestplate Core
conarm:chest_core:0, Dark Matter Chestplate Core
conarm:chest_core:0, Red Matter Chestplate Core
conarm:chest_core:0, Fluxed Electrum Chestplate Core
conarm:chest_core:0, Flux Crystal Chestplate Core
conarm:chest_core:0, Gelid Enderium Chestplate Core
conarm:chest_core:0, Gelid Gem Chestplate Core
conarm:chest_core:0, Thaumium Chestplate Core
conarm:chest_core:0, Void Metal Chestplate Core
conarm:chest_core:0, Primal Metal Chestplate Core
conarm:chest_core:0, Amber Chestplate Core
conarm:chest_core:0, Tin Chestplate Core
conarm:chest_core:0, Aluminium Chestplate Core
conarm:chest_core:0, Nickel Chestplate Core
conarm:chest_core:0, Platinum Chestplate Core
conarm:chest_core:0, Invar Chestplate Core
conarm:chest_core:0, Constantan Chestplate Core
conarm:chest_core:0, Signalum Chestplate Core
conarm:chest_core:0, Lumium Chestplate Core
conarm:chest_core:0, Enderium Chestplate Core
conarm:chest_core:0, Prosperity Shard Chestplate Core
conarm:chest_core:0, Soulium Chestplate Core
conarm:chest_core:0, Base Essence Chestplate Core
conarm:chest_core:0, Inferium Chestplate Core
conarm:chest_core:0, Prudentium Chestplate Core
conarm:chest_core:0, Intermedium Chestplate Core
conarm:chest_core:0, Superium Chestplate Core
conarm:chest_core:0, Supremium Chestplate Core
conarm:chest_core:0, Tiberium Chestplate Core
conarm:chest_core:0, Aurorium Chestplate Core
conarm:chest_core:0, Prometheum Chestplate Core
conarm:chest_core:0, Duranite Chestplate Core
conarm:chest_core:0, Valyrium Chestplate Core
conarm:chest_core:0, Vibranium Chestplate Core
conarm:chest_core:0, Terrax Chestplate Core
conarm:chest_core:0, Palladium Chestplate Core
conarm:chest_core:0, Uru Chestplate Core
conarm:chest_core:0, Eezo Chestplate Core
conarm:chest_core:0, Basalt Chestplate Core
conarm:chest_core:0, Triberium Chestplate Core
conarm:chest_core:0, Fractum Chestplate Core
conarm:chest_core:0, Violium Chestplate Core
conarm:chest_core:0, Proxii Chestplate Core
conarm:chest_core:0, Tritonite Chestplate Core
conarm:chest_core:0, Ignitz Chestplate Core
conarm:chest_core:0, Imperomite Chestplate Core
conarm:chest_core:0, Solarium Chestplate Core
conarm:chest_core:0, Nihilite Chestplate Core
conarm:chest_core:0, Adamant Chestplate Core
conarm:chest_core:0, Dyonite Chestplate Core
conarm:chest_core:0, Nucleum Chestplate Core
conarm:chest_core:0, Lumix Chestplate Core
conarm:chest_core:0, Seismum Chestplate Core
conarm:chest_core:0, Astrium Chestplate Core
conarm:chest_core:0, Niob Chestplate Core
conarm:chest_core:0, Yrdeen Chestplate Core
conarm:chest_core:0, Meteorite Chestplate Core
conarm:chest_core:0, Obsidiorite Chestplate Core
conarm:chest_core:0, Alumite Chestplate Core
conarm:chest_core:0, Sapphire Chestplate Core
conarm:chest_core:0, Ruby Chestplate Core
conarm:chest_core:0, Peridot Chestplate Core
conarm:chest_core:0, Malachite Chestplate Core
conarm:chest_core:0, Topaz Chestplate Core
conarm:chest_core:0, Tanzanite Chestplate Core
conarm:chest_core:0, Amethyst Chestplate Core
conarm:chest_core:0, Osgloglas Chestplate Core
conarm:chest_core:0, Osmiridium Chestplate Core
conarm:chest_core:0, Skyroot Chestplate Core
conarm:chest_core:0, Holystone Chestplate Core
conarm:chest_core:0, Zanite Chestplate Core
conarm:chest_core:0, Gravitite Chestplate Core
conarm:chest_core:0, Golden Amber Chestplate Core
conarm:chest_core:0, Valkyrie Chestplate Core
conarm:chest_core:0, Swet Chestplate Core
conarm:chest_core:0, Candy Cane Chestplate Core
conarm:chest_core:0, Cold Aercloud Chestplate Core
conarm:chest_core:0, Blue Aercloud Chestplate Core
conarm:chest_core:0, Golden Aercloud Chestplate Core
conarm:chest_core:0, Icestone Chestplate Core
conarm:chest_core:0, Mirion Chestplate Core
conarm:chest_core:0, Emerald Chestplate Core
conarm:leggings_core:0, Electrical Leggings Core
conarm:leggings_core:0, Energetic Leggings Core
conarm:leggings_core:0, Vibrant Leggings Core
conarm:leggings_core:0, Red Leggings Core
conarm:leggings_core:0, Conductive Leggings Core
conarm:leggings_core:0, Pulsating Leggings Core
conarm:leggings_core:0, Dark Leggings Core
conarm:leggings_core:0, Souled Leggings Core
conarm:leggings_core:0, Leggings Core of the End
conarm:leggings_core:0, Fake-Iron Leggings Core
conarm:leggings_core:0, TofuMetal Leggings Core
conarm:leggings_core:0, TofuDiamond Leggings Core
conarm:leggings_core:0, Naga Scale Leggings Core
conarm:leggings_core:0, Steeleaf Leggings Core
conarm:leggings_core:0, Fiery Leggings Core
conarm:leggings_core:0, Knightly Leggings Core
conarm:leggings_core:0, Wooden Leggings Core
conarm:leggings_core:0, Stone Leggings Core
conarm:leggings_core:0, Flint Leggings Core
conarm:leggings_core:0, Cactus Leggings Core
conarm:leggings_core:0, Bone Leggings Core
conarm:leggings_core:0, Obsidian Leggings Core
conarm:leggings_core:0, Prismarine Leggings Core
conarm:leggings_core:0, End Leggings Core
conarm:leggings_core:0, Paper Leggings Core
conarm:leggings_core:0, Sponge Leggings Core
conarm:leggings_core:0, Firewood Leggings Core
conarm:leggings_core:0, Iron Leggings Core
conarm:leggings_core:0, Pig Iron Leggings Core
conarm:leggings_core:0, Knightslime Leggings Core
conarm:leggings_core:0, Slime Leggings Core
conarm:leggings_core:0, Slime Leggings Core
conarm:leggings_core:0, Magma Slime Leggings Core
conarm:leggings_core:0, Netherrack Leggings Core
conarm:leggings_core:0, Cobalt Leggings Core
conarm:leggings_core:0, Ardite Leggings Core
conarm:leggings_core:0, Manyullyn Leggings Core
conarm:leggings_core:0, Copper Leggings Core
conarm:leggings_core:0, Bronze Leggings Core
conarm:leggings_core:0, Lead Leggings Core
conarm:leggings_core:0, Silver Leggings Core
conarm:leggings_core:0, Electrum Leggings Core
conarm:leggings_core:0, Steel Leggings Core
conarm:leggings_core:0, Abyssalnite Leggings Core
conarm:leggings_core:0, Refined Coralium Leggings Core
conarm:leggings_core:0, Dreadium Leggings Core
conarm:leggings_core:0, Cheese Leggings Core
conarm:leggings_core:0, Insanium Leggings Core
conarm:leggings_core:0, Coalescence Matrix Leggings Core
conarm:leggings_core:0, Knowledge Leggings Core
conarm:leggings_core:0, Infernium Leggings Core
conarm:leggings_core:0, Titanium Leggings Core
conarm:leggings_core:0, Cryonium Leggings Core
conarm:leggings_core:0, Alubrass Leggings Core
conarm:leggings_core:0, Diamond Leggings Core
conarm:leggings_core:0, Gold Leggings Core
conarm:leggings_core:0, Coal Leggings Core
conarm:leggings_core:0, Ethaxium Leggings Core
conarm:leggings_core:0, Scarlite Leggings Core
conarm:leggings_core:0, Hephaestite Leggings Core
conarm:leggings_core:0, Mithrillium Leggings Core
conarm:leggings_core:0, Adaminite Leggings Core
conarm:leggings_core:0, Mithminite Leggings Core
conarm:leggings_core:0, Ravaging Leggings Core
conarm:leggings_core:0, Remorseful Gem Leggings Core
conarm:leggings_core:0, Gaia Leggings Core
conarm:leggings_core:0, Cytosinite Leggings Core
conarm:leggings_core:0, Terra Alloy Leggings Core
conarm:leggings_core:0, Stellar Alloy Leggings Core
conarm:leggings_core:0, Cosmilite Leggings Core
conarm:leggings_core:0, Astral Metal Leggings Core
conarm:leggings_core:0, Orichalcos Leggings Core
conarm:leggings_core:0, Yellorium Leggings Core
conarm:leggings_core:0, Chocolate Leggings Core
conarm:leggings_core:0, Cincinnasite Leggings Core
conarm:leggings_core:0, Rime Leggings Core
conarm:leggings_core:0, Ender Biotite Leggings Core
conarm:leggings_core:0, Tofu Gem Leggings Core
conarm:leggings_core:0, High-Powered Tofu Gem Leggings Core
conarm:leggings_core:0, Sakura Diamond Leggings Core
conarm:leggings_core:0, Mud Leggings Core
conarm:leggings_core:0, Dimensional Shard Leggings Core
conarm:leggings_core:0, Heart Crystal Leggings Core
conarm:leggings_core:0, Bedrock Leggings Core
conarm:leggings_core:0, Aeroite Leggings Core
conarm:leggings_core:0, Asgardium Leggings Core
conarm:leggings_core:0, Shadowium Leggings Core
conarm:leggings_core:0, Netherite Leggings Core
conarm:leggings_core:0, Seared Leggings Core
conarm:leggings_core:0, Scorched Leggings Core
conarm:leggings_core:0, Modularium Leggings Core
conarm:leggings_core:0, Mereor Leggings Core
conarm:leggings_core:0, Chromium Leggings Core
conarm:leggings_core:0, Stainless Steel Leggings Core
conarm:leggings_core:0, Protonium Leggings Core
conarm:leggings_core:0, Electronium Leggings Core
conarm:leggings_core:0, Crimsonite Leggings Core
conarm:leggings_core:0, Aqualite Leggings Core
conarm:leggings_core:0, Manganese Leggings Core
conarm:leggings_core:0, Manganese Steel Leggings Core
conarm:leggings_core:0, Mithril Leggings Core
conarm:leggings_core:0, Durasteel Leggings Core
conarm:leggings_core:0, Aeonsteel Leggings Core
conarm:leggings_core:0, Chromasteel Leggings Core
conarm:leggings_core:0, Spectre Leggings Core
conarm:leggings_core:0, Terrestrial Gem Leggings Core
conarm:leggings_core:0, Alpha Fur Leggings Core
conarm:leggings_core:0, Perfect Leggings Core
conarm:leggings_core:0, Pumpkin Leggings Core
conarm:leggings_core:0, Poop Leggings Core
conarm:leggings_core:0, Shadowium Leggings Core
conarm:leggings_core:0, Orichalcos Leggings Core
conarm:leggings_core:0, Blood Infused Wooden Leggings Core
conarm:leggings_core:0, Blood Infused Iron Leggings Core
conarm:leggings_core:0, Umbrium Leggings Core
conarm:leggings_core:0, Magical Wooden Leggings Core
conarm:leggings_core:0, Evil Infused Leggings Core
conarm:leggings_core:0, Enchanted Leggings Core
conarm:leggings_core:0, Demonic Leggings Core
conarm:leggings_core:0, Black Quartz Leggings Core
conarm:leggings_core:0, Restonia Crystal Leggings Core
conarm:leggings_core:0, Palis Crystal Leggings Core
conarm:leggings_core:0, Diamatine Crystal Leggings Core
conarm:leggings_core:0, Void Crystal Leggings Core
conarm:leggings_core:0, Emeradic Crystal Leggings Core
conarm:leggings_core:0, Enori Crystal Leggings Core
conarm:leggings_core:0, Sunnarium Leggings Core
conarm:leggings_core:0, Sky Stone Leggings Core
conarm:leggings_core:0, Certus Quartz Leggings Core
conarm:leggings_core:0, Fluix Leggings Core
conarm:leggings_core:0, Fluix Steel Leggings Core
conarm:leggings_core:0, Aquamarine Leggings Core
conarm:leggings_core:0, Starmetal Leggings Core
conarm:leggings_core:0, Crystal Matrix Leggings Core
conarm:leggings_core:0, Neutronium Leggings Core
conarm:leggings_core:0, Infinity Leggings Core
conarm:leggings_core:0, Bound Leggings Core
conarm:leggings_core:0, Sentient Leggings Core
conarm:leggings_core:0, Livingrock Leggings Core
conarm:leggings_core:0, Livingwood Leggings Core
conarm:leggings_core:0, Dreamwood Leggings Core
conarm:leggings_core:0, Manasteel Leggings Core
conarm:leggings_core:0, Terrasteel Leggings Core
conarm:leggings_core:0, Elementium Leggings Core
conarm:leggings_core:0, Draconium Leggings Core
conarm:leggings_core:0, Wyvern Leggings Core
conarm:leggings_core:0, Draconic Leggings Core
conarm:leggings_core:0, Chaotic Leggings Core
conarm:leggings_core:0, Litherite Leggings Core
conarm:leggings_core:0, Erodium Leggings Core
conarm:leggings_core:0, Kyronite Leggings Core
conarm:leggings_core:0, Pladium Leggings Core
conarm:leggings_core:0, Ionite Leggings Core
conarm:leggings_core:0, Aethium Leggings Core
conarm:leggings_core:0, Lonsdaleite Leggings Core
conarm:leggings_core:0, Mica Leggings Core
conarm:leggings_core:0, Apatite Leggings Core
conarm:leggings_core:0, Essence-Infused Leggings Core
conarm:leggings_core:0, Meaty Leggings Core
conarm:leggings_core:0, Slime Leggings Core
conarm:leggings_core:0, Pink Metal Leggings Core
conarm:leggings_core:0, Rubber Leggings Core
conarm:leggings_core:0, Advanced Alloy Leggings Core
conarm:leggings_core:0, Energium Leggings Core
conarm:leggings_core:0, Carbon Fiber Leggings Core
conarm:leggings_core:0, Iridium Leggings Core
conarm:leggings_core:0, UU-Metal Leggings Core
conarm:leggings_core:0, Osmium Leggings Core
conarm:leggings_core:0, Refined Obsidian Leggings Core
conarm:leggings_core:0, Refined Glowstone Leggings Core
conarm:leggings_core:0, HDPE Leggings Core
conarm:leggings_core:0, Ghostwood Leggings Core
conarm:leggings_core:0, Bloodwood Leggings Core
conarm:leggings_core:0, Darkwood Leggings Core
conarm:leggings_core:0, Fusewood Leggings Core
conarm:leggings_core:0, Dark Matter Leggings Core
conarm:leggings_core:0, Red Matter Leggings Core
conarm:leggings_core:0, Fluxed Electrum Leggings Core
conarm:leggings_core:0, Flux Crystal Leggings Core
conarm:leggings_core:0, Gelid Enderium Leggings Core
conarm:leggings_core:0, Gelid Gem Leggings Core
conarm:leggings_core:0, Thaumium Leggings Core
conarm:leggings_core:0, Void Metal Leggings Core
conarm:leggings_core:0, Primal Metal Leggings Core
conarm:leggings_core:0, Amber Leggings Core
conarm:leggings_core:0, Tin Leggings Core
conarm:leggings_core:0, Aluminium Leggings Core
conarm:leggings_core:0, Nickel Leggings Core
conarm:leggings_core:0, Platinum Leggings Core
conarm:leggings_core:0, Invar Leggings Core
conarm:leggings_core:0, Constantan Leggings Core
conarm:leggings_core:0, Signalum Leggings Core
conarm:leggings_core:0, Lumium Leggings Core
conarm:leggings_core:0, Enderium Leggings Core
conarm:leggings_core:0, Prosperity Shard Leggings Core
conarm:leggings_core:0, Soulium Leggings Core
conarm:leggings_core:0, Base Essence Leggings Core
conarm:leggings_core:0, Inferium Leggings Core
conarm:leggings_core:0, Prudentium Leggings Core
conarm:leggings_core:0, Intermedium Leggings Core
conarm:leggings_core:0, Superium Leggings Core
conarm:leggings_core:0, Supremium Leggings Core
conarm:leggings_core:0, Tiberium Leggings Core
conarm:leggings_core:0, Aurorium Leggings Core
conarm:leggings_core:0, Prometheum Leggings Core
conarm:leggings_core:0, Duranite Leggings Core
conarm:leggings_core:0, Valyrium Leggings Core
conarm:leggings_core:0, Vibranium Leggings Core
conarm:leggings_core:0, Terrax Leggings Core
conarm:leggings_core:0, Palladium Leggings Core
conarm:leggings_core:0, Uru Leggings Core
